QuestionText,Label
"Brinem se jer da li je normalno da beba puno spava tokom dana.",False
"Treba mi savjet doktora: da li je normalno da beba puno spava tokom dana.",False
"Dobar dan, da li je normalno da beba često podriguje nakon hranjenja?",False
"Brinem se jer koliko dugo obično traje faza kolika.",False
"Da li je u redu koristiti cuclu. Šta mi savjetujete?",False
"Zanima me sljedeće: beba hripa i uvlači rebra pri disanju?",True
"Beba ima visoku temperaturu preko 39 stepeni. Šta mi savjetujete?",True
"Molim savjet - beba ima visoku temperaturu preko 39 stepeni.",True
"Beba je pala i sada povraća i jako je pospana?",True
"Treba mi savjet doktora: beba je pala i sada povraća i jako je pospana.",False
"Treba mi savjet doktora: beba ne mokri više od 8 sati.",True
"Dobar dan, da li je normalno da beba puno spava tokom dana?",False
"Brinem se jer kada mogu očekivati da beba počne sjediti sama.",False
"Brinem se jer kako naučiti bebu da spava cijelu noć.",False
"Imam pitanje: da li je u redu da beba spava na stomaku uz nadzor?",False
"Poštovani doktore, koža oko usta i noktiju izgleda siva?",True
"Dijete je progutalo nešto strano ili moguć otrov. Šta mi savjetujete?",True
"Treba mi savjet doktora: kada beba počinje jesti čvrstu hranu.",False
"Brinem se jer primijetila sam krv u stolici kod bebe.",True
"Brinem se jer da li je normalno da beba često podriguje nakon hranjenja.",False
"Dobar dan, kada mogu početi sa uvođenjem sokova?",False
"Dijete ne diše normalno i teško hvata zrak. Šta mi savjetujete?",True
"Molim savjet - koje vitamine treba davati bebi.",False
"Poštovani doktore, pojavio se osip koji se brzo širi po tijelu?",True
"Kako naučiti bebu da spava cijelu noć, šta da radim?",False
"Brinem se jer kada je vrijeme za prvu posjetu zubaru.",False
"Beba ima visoku temperaturu preko 39 stepeni, šta da radim?",True
"Beba ima temperaturu a mlađa je od tri mjeseca?",True
"Dobar dan, kada beba obično počinje govoriti prve riječi?",False
"Molim savjet - koliko dugo obično traje faza kolika.",False
"Treba mi savjet doktora: dijete ne diše normalno i teško hvata zrak.",True
"Brinem se jer primijetila sam krv u povraćanju kod bebe.",True
"Dobar dan, temperatura ne pada ni nakon lijeka već satima?",True
"Treba mi savjet doktora: da li je u redu koristiti cuclu.",False
"Molim savjet - beba ne mokri više od 8 sati.",True
"Zanima me sljedeće: beba jako plače i ne može se smiriti već duže vrijeme?",True
"Molim savjet - beba ne mokri više od 8 sati.",True
"Brinem se jer dijete je jako pospano i teško ga je probuditi.",True
"Molim savjet - novorođenče odbija svaki obrok i letargično je.",True
"Dobar dan, beba ima temperaturu a mlađa je od tri mjeseca?",True
"Poštovani doktore, kako uspostaviti stabilnu rutinu spavanja?",False
"Dobar dan, kada je vrijeme za prvu posjetu zubaru?",False
"Poštovani doktore, da li je normalno da beba puno spava tokom dana?",False
"Molim savjet - koliko dugo obično traje faza kolika.",False
"Molim savjet - primijetila sam krv u povraćanju kod bebe.",True
"Kada mogu očekivati da beba počne sjediti sama?",False
"Dobar dan, beba je pala i sada povraća i jako je pospana?",True
"Koje su preporuke za kupanje novorođenčeta. Šta mi savjetujete?",False
"Zanima me sljedeće: dijete se opeklo i koža je jako crvena i mjehuri se?",True
"Kada je vrijeme za prvu posjetu zubaru?",False
"Imam pitanje: koje vitamine treba davati bebi?",False
"Kada beba počinje jesti čvrstu hranu. Šta mi savjetujete?",False
"Kada mogu očekivati da beba počne sjediti sama, šta da radim?",False
"Koža oko usta i noktiju izgleda siva?",True
"Dijete je jako pospano i teško ga je probuditi. Šta mi savjetujete?",True
"Dobar dan, kada beba počinje jesti čvrstu hranu?",False
"Molim savjet - kada beba počinje jesti čvrstu hranu.",False
"Molim savjet - kada beba obično počinje govoriti prve riječi.",False
"Dobar dan, kada mogu očekivati da beba počne sjediti sama?",False
"Treba mi savjet doktora: kada beba obično počinje govoriti prve riječi.",False
"Imam pitanje: koliko brzo bi trebalo beba da dobija na težini?",False
"Imam pitanje: da li je u redu koristiti cuclu?",False
"Kada beba počinje jesti čvrstu hranu?",False
"Treba mi savjet doktora: da li je u redu koristiti cuclu.",False
"Imam pitanje: kako naučiti bebu da spava cijelu noć?",False
"Treba mi savjet doktora: koliko puta dnevno treba mijenjati pelene.",False
"Beba ima temperaturu a mlađa je od tri mjeseca?",True
"Brinem se jer koliko je normalno da beba plače tokom dana.",False
"Treba mi savjet doktora: beba ima temperaturu a mlađa je od tri mjeseca.",True
"Imam pitanje: da li je u redu koristiti cuclu?",False
"Koje vitamine treba davati bebi?",False
"Brinem se jer koliko je normalno da beba plače tokom dana.",False
"Molim savjet - beba ima jaku bol u stomaku i ne miče se.",True
"Brinem se jer koliko je normalno da beba plače tokom dana.",False
"Imam pitanje: da li je u redu da beba spava na stomaku uz nadzor?",False
"Dobar dan, koje su preporuke za kupanje novorođenčeta?",False
"Koliko puta dnevno treba mijenjati pelene. Šta mi savjetujete?",False
"Kada se preporučuje prva redovna vakcina?",False
"Molim savjet - koliko sati sna je normalno za bebu od 15 mjeseci.",False
"Poštovani doktore, da li je u redu da beba spava na stomaku uz nadzor?",False
"Kako naučiti bebu da spava cijelu noć. Šta mi savjetujete?",False
"Dobar dan, kako uspostaviti stabilnu rutinu spavanja?",False
"Koje su preporuke za kupanje novorođenčeta?",False
"Treba mi savjet doktora: koža bebe je postala jako blijeda ili žuta.",True
"Pojavio se osip koji se brzo širi po tijelu. Šta mi savjetujete?",True
"Kako uspostaviti stabilnu rutinu spavanja, šta da radim?",False
"Imam pitanje: kada beba počinje jesti čvrstu hranu?",False
"Molim savjet - beba ima visoku temperaturu preko 39 stepeni.",True
"Treba mi savjet doktora: pojavio se osip koji se brzo širi po tijelu.",True
"Dobar dan, koža oko usta i noktiju izgleda siva?",True
"Beba hripa i uvlači rebra pri disanju?",True
"Treba mi savjet doktora: dijete je progutalo nešto strano ili moguć otrov.",True
"Treba mi savjet doktora: pojavio se osip koji se brzo širi po tijelu.",True
"Koje vitamine treba davati bebi. Šta mi savjetujete?",False
"Treba mi savjet doktora: beba je pala i sada povraća i jako je pospana.",True
"Imam pitanje: da li trebam brinuti ako beba ne voli određenu hranu?",False
"Beba ima jaku bol u stomaku i ne miče se. Šta mi savjetujete?",True
"Treba mi savjet doktora: koja hrana je najbolja za uvođenje u ishranu.",False
"Dobar dan, koliko sati sna je normalno za bebu od 9 mjeseci?",False
"Imam pitanje: koja hrana je najbolja za uvođenje u ishranu?",False
"Treba mi savjet doktora: kada beba počinje jesti čvrstu hranu.",False
"Koje su preporuke za kupanje novorođenčeta. Šta mi savjetujete?",False
"Treba mi savjet doktora: kada se preporučuje prva redovna vakcina.",False
"Zanima me sljedeće: koliko puta dnevno treba mijenjati pelene?",False
"Treba mi savjet doktora: da li je u redu koristiti cuclu.",False
"Beba ima visoku temperaturu preko 39 stepeni. Šta mi savjetujete?",True
"Dobar dan, koliko brzo bi trebalo beba da dobija na težini?",False
"Brinem se jer beba povraća bez prestanka već nekoliko sati.",True
"Brinem se jer primijetila sam krv u stolici kod bebe.",True
"Koža bebe je postala jako blijeda ili žuta?",True
"Da li je normalno da beba često podriguje nakon hranjenja?",False
"Dijete ne diše normalno i teško hvata zrak, šta da radim?",True
"Poštovani doktore, kada mogu početi sa uvođenjem sokova?",False
"Imam pitanje: dijete je na trenutak izgubilo svijest?",True
"Imam pitanje: beba ima jaku bol u stomaku i ne miče se?",True
